,church_name,address,telephone number,priest,confession,links,additional info,last update,coords,long,lat
0,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga",(045) 624 0344,,,,,"Sun Jun 4, 2023 12:17PM","{'lat': 15.1416878, 'lng': 120.5909457}",120.5909457,15.1416878
1,Christ the King Parish,"Pulung Cacutud, Angeles City, Pampanga",,,,,,"Sun Jun 4, 2023 12:20PM","{'lat': 15.1614718, 'lng': 120.6113599}",120.6113599,15.1614718
2,Holy Cross Parish,"Sapangbato, Angeles City, Pampanga",0918 963 6828,,,,,"Sun Jun 4, 2023 2:06PM","{'lat': 15.1670159, 'lng': 120.4898564}",120.4898564,15.1670159
3,Holy Rosary Parish (Pisamban Maragul),"Sto. Rosario St., Angeles City, Pampanga",0928 520 7489,,MWF: 6AM-7AM; Sat: 430PM-530PM (except after 1st friday); thur before1st: 430PM,,,"Sun Jun 4, 2023 12:28PM","{'lat': 15.1322054, 'lng': 120.5931786}",120.5931786,15.1322054
4,Holy Spirit Parish,"254 Astoria Avenue, Angeles City, Pampanga",0975 045 7696,,,,,"Sun Jun 4, 2023 12:33PM","{'lat': 15.1504415, 'lng': 120.5960318}",120.5960318,15.1504415
5,Immaculate Conception Parish,"Balibago, Angeles City, Pampanga","(045) 322 2149, 0998 236 9213",,,,,"Sun Jun 4, 2023 12:52PM","{'lat': 15.1640492, 'lng': 120.5940988}",120.5940988,15.1640492
6,Jesus The Eternal Word Parish,"Riverside Subdivision, Friendship, Brgy. Anunas, Angeles City, Pampanga",0967 406 5895,,,,,"Sun Jun 4, 2023 12:58PM","{'lat': 15.1607173, 'lng': 120.5552528}",120.5552528,15.1607173
7,Our Lady Of Fatima Parish,"Hensonville, Angeles City, Pampanga",0977 116 0829,,,,OFFICE HOURS,"Sun Jun 4, 2023 1:00PM","{'lat': 15.1588762, 'lng': 120.5817878}",120.5817878,15.1588762
8,Our Lady of Lourdes Parish,"Lourdes Sur East, Angeles City, Pampanga",,,,,,"Sun Jun 4, 2023 1:04PM","{'lat': 15.1439538, 'lng': 120.5933795}",120.5933795,15.1439538
9,Our Lady of Perpetual Help Chapel,"3rd Level, MarQuee Mall, Angeles City, Pampanga",,,,,,"Sun Jun 4, 2023 1:13PM","{'lat': 15.1640377, 'lng': 120.6093147}",120.6093147,15.1640377
10,Our Lady of Remedies Chapel,"Air Force City, Clark Air Base, Angeles City, Pampanga",,,,,,"Sun Jun 4, 2023 1:14PM","{'lat': 15.1811584, 'lng': 120.5360064}",120.5360064,15.1811584
11,Sta. Teresita Parish,"Brgy. Sta. Teresita, Angeles City, Pampanga",0935 004 4789,,,,,"Sun Jun 4, 2023 1:15PM","{'lat': 15.1501959, 'lng': 120.585681}",120.585681,15.1501959
12,The Lord's Transfiguration Parish,"L & S Subdivision, Angeles City, Pampanga",0929 642 1691,,,,Chapel Masses,"Sun Jun 4, 2023 1:23PM","{'lat': 15.120456, 'lng': 120.5938148}",120.5938148,15.120456
0,Blessed Mother and St. John the Evangelist Churh,"Gardenville Subd., Bacolod City, Negros Occidental",,,,,,"Wed Mar 17, 2010 10:43AM","{'lat': 10.6272129, 'lng': 122.9283589}",122.9283589,10.6272129
