,day_of_week,schedule,language,comment,church_name,church_address
0,6.0,8:00 AM - 9:00 AM,Kapampangan,Livestream,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
1,3.0,5:30 PM - 6:30 PM,English,,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
2,1.0,5:00 AM - 6:00 AM,Kapampangan,,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
3,1.0,6:30 AM - 7:30 AM,Kapampangan,FB Live,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
4,1.0,8:00 AM - 9:00 AM,English,FB Live,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
5,1.0,9:30 AM - 10:30 AM,English,,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
6,1.0,11:00 AM - 12:00 PM,Tagalog,,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
7,1.0,12:30 PM - 1:30 PM,English,,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
8,1.0,2:00 PM - 3:00 PM,Tagalog,FB Live,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
9,1.0,3:30 PM - 4:30 PM,English,,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
10,1.0,5:00 PM - 6:00 PM,Kapampangan,FB Live,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
11,1.0,6:30 PM - 7:30 PM,Kapampangan,FB Live,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
0,6.0,8:30 AM - 9:30 AM,English,,Christ the King Parish,"Pulung Cacutud, Angeles City, Pampanga"
1,4.0,6:30 AM - 7:30 AM,Kapampangan,,Christ the King Parish,"Pulung Cacutud, Angeles City, Pampanga"
2,3.0,6:30 AM - 7:30 AM,Kapampangan,,Christ the King Parish,"Pulung Cacutud, Angeles City, Pampanga"
3,2.0,6:30 AM - 7:30 AM,Kapampangan,,Christ the King Parish,"Pulung Cacutud, Angeles City, Pampanga"
4,1.0,6:30 AM - 7:30 AM,Kapampangan,,Christ the King Parish,"Pulung Cacutud, Angeles City, Pampanga"
5,0.0,6:30 AM - 07:30 AM,Kapampangan,,Christ the King Parish,"Pulung Cacutud, Angeles City, Pampanga"
6,6.0,6:00 PM - 7:00 PM,English,,Christ the King Parish,"Pulung Cacutud, Angeles City, Pampanga"
0,6.0,7:00 AM - 8:00 AM,,,Holy Cross Parish,"Sapangbato, Angeles City, Pampanga"
1,5.0,6:00 PM - 7:00 PM,,,Holy Cross Parish,"Sapangbato, Angeles City, Pampanga"
2,4.0,6:00 PM - 7:00 PM,,,Holy Cross Parish,"Sapangbato, Angeles City, Pampanga"
3,3.0,6:00 PM - 7:00 PM,,,Holy Cross Parish,"Sapangbato, Angeles City, Pampanga"
4,2.0,6:00 PM - 7:00 PM,,,Holy Cross Parish,"Sapangbato, Angeles City, Pampanga"
5,1.0,6:00 PM - 7:00 PM,,,Holy Cross Parish,"Sapangbato, Angeles City, Pampanga"
6,6.0,6:00 PM - 7:00 PM,,,Holy Cross Parish,"Sapangbato, Angeles City, Pampanga"
